Date,Close,Return
2010/07/01,1027.37,-0.324048471
2010/07/02,1022.58,-0.466239038
2010/07/06,1028.06,0.535899392
2010/07/07,1060.27,3.133085618
2010/07/08,1070.24,0.940326521
2010/07/09,1077.96,0.721333533
2010/07/12,1078.75,0.073286578
2010/07/13,1095.34,1.537891078
2010/07/14,1095.17,-0.015520295
2010/07/15,1096.48,0.119616133
2010/07/16,1064.88,-2.881949511
2010/07/19,1071.25,0.598189467
2010/07/20,1083.48,1.141656943
2010/07/21,1069.59,-1.281980286
2010/07/22,1093.67,2.251329949
2010/07/23,1102.66,0.822002981
2010/07/26,1115.01,1.120018863
2010/07/27,1113.84,-0.104931794
2010/07/28,1106.13,-0.692199957
2010/07/29,1101.53,-0.41586432
2010/07/30,1101.6,0.006354797
2010/08/02,1125.86,2.202251271
2010/08/03,1120.46,-0.479633347
2010/08/04,1127.24,0.605108616
2010/08/05,1125.82,-0.125971399
2010/08/06,1121.64,-0.37128493
2010/08/09,1127.79,0.548304269
2010/08/10,1121.06,-0.596742301
2010/08/11,1089.47,-2.817868803
2010/08/12,1083.61,-0.537876215
2010/08/13,1079.25,-0.402358782
2010/08/16,1079.38,0.012045402
2010/08/17,1092.54,1.21921844
2010/08/18,1094.16,0.148278324
2010/08/19,1075.63,-1.693536594
2010/08/20,1071.69,-0.366296961
2010/08/23,1067.36,-0.404034749
2010/08/24,1051.87,-1.451244191
2010/08/25,1055.33,0.328937987
2010/08/26,1047.22,-0.768480002
2010/08/27,1064.59,1.65867726
2010/08/30,1048.92,-1.47192816
2010/08/31,1049.33,0.039087824
2010/09/01,1080.29,2.950454099
2010/09/02,1090.1,0.908089494
2010/09/03,1104.51,1.321897074
2010/09/07,1091.84,-1.14711501
2010/09/08,1098.87,0.643867233
2010/09/09,1104.18,0.483223675
2010/09/10,1109.55,0.48633375
2010/09/13,1121.9,1.113063855
2010/09/14,1121.1,-0.071307603
2010/09/15,1125.07,0.354116493
2010/09/16,1124.66,-0.036442177
2010/09/17,1125.59,0.082691658
2010/09/20,1142.71,1.520980108
2010/09/21,1139.78,-0.256408013
2010/09/22,1134.28,-0.482549264
2010/09/23,1124.83,-0.833127623
2010/09/24,1148.67,2.119431381
2010/09/27,1142.16,-0.566742406
2010/09/28,1147.7,0.485045878
2010/09/29,1144.73,-0.258778426
