Date,Close,Return
2009/01/01,1.4045,0.529668599
2009/01/02,1.3921,-0.882876468
2009/01/05,1.3635,-2.054450111
2009/01/06,1.3536,-0.726072607
2009/01/07,1.3644,0.79787234
2009/01/08,1.3702,0.42509528
2009/01/09,1.3476,-1.649394249
2009/01/12,1.3362,-0.845948353
2009/01/13,1.3182,-1.347103727
2009/01/14,1.3191,0.06827492
2009/01/15,1.3115,-0.576150406
2009/01/16,1.3267,1.158978269
2009/01/19,1.3069,-1.492424813
2009/01/20,1.2904,-1.26252965
2009/01/21,1.3023,0.922194668
2009/01/22,1.3001,-0.16893189
2009/01/23,1.2975,-0.199984617
2009/01/26,1.3189,1.649325626
2009/01/27,1.316,-0.219880203
2009/01/28,1.3166,0.045592705
2009/01/29,1.2954,-1.610208112
2009/01/30,1.2813,-1.088466883
2009/02/02,1.2843,0.234137204
2009/02/03,1.304,1.533909523
2009/02/04,1.2849,-1.464723926
2009/02/05,1.2791,-0.451396996
2009/02/06,1.294,1.164881557
2009/02/09,1.3003,0.486862442
2009/02/10,1.2913,-0.692147966
2009/02/11,1.2906,-0.054208937
2009/02/12,1.2861,-0.348675035
2009/02/13,1.2862,0.007775445
2009/02/16,1.2801,-0.474265278
2009/02/17,1.2582,-1.710803843
2009/02/18,1.253,-0.413288825
2009/02/19,1.2674,1.14924182
2009/02/20,1.2826,1.199305665
2009/02/23,1.2694,-1.02915952
2009/02/24,1.2846,1.197416102
2009/02/25,1.2723,-0.957496497
2009/02/26,1.2744,0.165055411
2009/02/27,1.2669,-0.588512241
2009/03/02,1.2578,-0.718288736
2009/03/03,1.2561,-0.135156623
2009/03/04,1.2661,0.796114959
2009/03/05,1.254,-0.955690704
2009/03/06,1.2653,0.901116427
2009/03/09,1.2611,-0.33193709
2009/03/10,1.2682,0.563000555
2009/03/11,1.2837,1.2222047
2009/03/12,1.2913,0.592038638
2009/03/13,1.2928,0.116162007
2009/03/16,1.2968,0.309405941
2009/03/17,1.3017,0.377853177
2009/03/18,1.3474,3.510793578
2009/03/19,1.3665,1.417544901
2009/03/20,1.3582,-0.607391145
2009/03/23,1.3633,0.375496981
2009/03/24,1.3468,-1.21029854
2009/03/25,1.3583,0.853875854
2009/03/26,1.3526,-0.4196422
2009/03/27,1.3287,-1.766967322
2009/03/30,1.3199,-0.662301498
2009/03/31,1.325,0.386392909
2009/04/01,1.3249,-0.00754717
2009/04/02,1.3461,1.600120764
2009/04/03,1.3486,0.185721715
2009/04/06,1.3416,-0.5190568
2009/04/07,1.3272,-1.073345259
2009/04/08,1.3282,0.075346594
2009/04/09,1.3169,-0.850775486
2009/04/10,1.3189,0.15187182
2009/04/13,1.3368,1.357191599
2009/04/14,1.3259,-0.815380012
2009/04/15,1.3227,-0.241345501
2009/04/16,1.3186,-0.309972027
2009/04/17,1.3044,-1.076899742
2009/04/20,1.2921,-0.942962282
2009/04/21,1.2948,0.208962155
2009/04/22,1.3005,0.440222428
2009/04/23,1.3144,1.068819685
2009/04/24,1.3242,0.74558734
2009/04/27,1.3036,-1.555656245
2009/04/28,1.3149,0.866830316
2009/04/29,1.3271,0.927827211
2009/04/30,1.323,-0.308944315
2009/05/01,1.3273,0.325018896
2009/05/04,1.3406,1.002034205
2009/05/05,1.333,-0.566910339
2009/05/06,1.3335,0.037509377
2009/05/07,1.339,0.412448444
2009/05/08,1.3634,1.822255414
2009/05/11,1.3582,-0.381399443
